epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3686.06,0.7073,0.42729,0.96392,0.88456,0.83612,0.8258,0.66401,0.59742,0.31464,0.90541,0.000786532,0.000786532,0.000786532
61,3750.32,0.71252,0.42507,0.97506,0.90046,0.81543,0.82118,0.65464,0.65137,0.33983,0.92738,0.000781033,0.000781033,0.000781033
62,3814.15,0.68513,0.40675,0.95862,0.92278,0.8118,0.8261,0.68822,0.5846,0.32904,0.90929,0.000775534,0.000775534,0.000775534
63,3879.38,0.68054,0.42134,0.9569,0.88741,0.81869,0.81235,0.66756,0.59413,0.32008,0.90716,0.000770034,0.000770034,0.000770034
64,3944.68,0.68033,0.41554,0.9626,0.85784,0.8244,0.82893,0.66214,0.63114,0.32806,0.91839,0.000764535,0.000764535,0.000764535
65,4007.16,0.67675,0.41439,0.95431,0.89206,0.82497,0.81851,0.67623,0.58055,0.30748,0.90475,0.000759035,0.000759035,0.000759035
66,4071.58,0.67225,0.40115,0.94153,0.87779,0.83612,0.82001,0.67692,0.56914,0.2996,0.90087,0.000753536,0.000753536,0.000753536
67,4135.13,0.69026,0.40735,0.961,0.86414,0.82218,0.81595,0.67083,0.58717,0.30068,0.90489,0.000748036,0.000748036,0.000748036
68,4194.9,0.64471,0.39739,0.93889,0.8836,0.82482,0.82266,0.66275,0.63798,0.32605,0.92417,0.000742537,0.000742537,0.000742537
69,4253.32,0.66762,0.40348,0.94581,0.91126,0.83448,0.83219,0.67571,0.59391,0.32394,0.91244,0.000737037,0.000737037,0.000737037
70,4315.26,0.66834,0.39684,0.9465,0.8497,0.79273,0.80458,0.65346,0.64327,0.39405,0.92633,0.000731538,0.000731538,0.000731538
71,4373.82,0.66841,0.39394,0.95493,0.90727,0.81516,0.82481,0.66383,0.62321,0.31174,0.90834,0.000726038,0.000726038,0.000726038
72,4432.06,0.66108,0.38972,0.94548,0.87353,0.81543,0.81489,0.66073,0.62462,0.31459,0.91877,0.000720539,0.000720539,0.000720539
73,4490.54,0.63232,0.38528,0.93674,0.87518,0.83357,0.82944,0.66913,0.6034,0.30392,0.9061,0.00071504,0.00071504,0.00071504
74,4549.33,0.64204,0.38495,0.93593,0.92418,0.82753,0.82951,0.67836,0.57943,0.29812,0.89776,0.00070954,0.00070954,0.00070954
75,4612.58,0.63792,0.38256,0.93869,0.87173,0.82172,0.82384,0.66736,0.59655,0.29614,0.9014,0.000704041,0.000704041,0.000704041
76,4670.96,0.64818,0.3984,0.94221,0.87406,0.82922,0.82789,0.6716,0.61082,0.30427,0.91212,0.000698541,0.000698541,0.000698541
77,4735.32,0.64127,0.37557,0.9465,0.89343,0.82284,0.82838,0.67479,0.57286,0.31757,0.89987,0.000693042,0.000693042,0.000693042
78,4794.59,0.63557,0.37502,0.93446,0.94927,0.83225,0.83379,0.68097,0.57347,0.27415,0.90029,0.000687542,0.000687542,0.000687542
79,4856.07,0.63482,0.38192,0.93728,0.85922,0.83448,0.81492,0.67595,0.58015,0.29182,0.89926,0.000682043,0.000682043,0.000682043
80,4914.85,0.63639,0.37585,0.93277,0.92971,0.84138,0.8375,0.68405,0.58157,0.28973,0.90254,0.000676543,0.000676543,0.000676543
81,4974.5,0.63947,0.37055,0.93512,0.98045,0.81619,0.82632,0.66933,0.60287,0.30942,0.90912,0.000671044,0.000671044,0.000671044
82,5034.43,0.63379,0.36918,0.93963,0.91658,0.82763,0.83185,0.67065,0.60633,0.31093,0.90432,0.000665545,0.000665545,0.000665545
83,5095.77,0.62104,0.37722,0.93305,0.9865,0.83436,0.8381,0.66164,0.62833,0.30299,0.92342,0.000660045,0.000660045,0.000660045
84,5154.47,0.61227,0.34719,0.92197,0.92534,0.84138,0.83325,0.68445,0.57392,0.28604,0.9012,0.000654546,0.000654546,0.000654546
85,5214.44,0.62975,0.36025,0.93825,0.90307,0.83612,0.83288,0.67933,0.59646,0.29458,0.90609,0.000649046,0.000649046,0.000649046
86,5273.11,0.61803,0.35931,0.93168,0.90029,0.81605,0.82901,0.66394,0.61516,0.28456,0.91423,0.000643547,0.000643547,0.000643547
87,5335.61,0.60437,0.35221,0.92002,0.94569,0.83999,0.83677,0.6842,0.57413,0.29384,0.90368,0.000638047,0.000638047,0.000638047
88,5394.21,0.61265,0.35568,0.92615,0.97162,0.82902,0.83794,0.67233,0.59942,0.30758,0.90975,0.000632548,0.000632548,0.000632548
89,5454.59,0.62822,0.35645,0.92698,0.97962,0.82745,0.83329,0.68686,0.57298,0.27845,0.90093,0.000627048,0.000627048,0.000627048
90,5513.69,0.61424,0.34935,0.92499,0.93553,0.82001,0.82994,0.67558,0.56414,0.28351,0.89675,0.000621549,0.000621549,0.000621549
91,5575.02,0.61956,0.35655,0.92905,0.96321,0.82759,0.83543,0.67681,0.56595,0.2828,0.89883,0.000616049,0.000616049,0.000616049
92,5633.94,0.60148,0.34938,0.92158,0.94355,0.83222,0.83194,0.67541,0.5659,0.27475,0.88863,0.00061055,0.00061055,0.00061055
93,5696.1,0.61804,0.35843,0.9296,0.92167,0.7981,0.82237,0.67284,0.61877,0.31692,0.9146,0.000605051,0.000605051,0.000605051
94,5759.67,0.60354,0.34245,0.93165,0.91907,0.82922,0.82632,0.67187,0.58322,0.29447,0.89954,0.000599551,0.000599551,0.000599551
95,5823.28,0.61002,0.35074,0.93161,0.95672,0.83612,0.83615,0.67859,0.59139,0.28869,0.90476,0.000594052,0.000594052,0.000594052
96,5884.31,0.60854,0.35008,0.9252,0.94723,0.82232,0.82724,0.66718,0.59664,0.28227,0.90737,0.000588552,0.000588552,0.000588552
97,5943.6,0.59994,0.34772,0.93032,0.92866,0.82759,0.82952,0.68773,0.55316,0.27579,0.89204,0.000583053,0.000583053,0.000583053
